prover,job_name,job_size,proof_duration_microsec,verify_duration_microsec,proof_bytes
miden,iter_blake3,1,342283,419,67000
miden,iter_blake3,10,884350,423,83391
miden,iter_blake3,100,3568577,444,101331
miden,iter_sha2,1,389440,457,72941
miden,iter_sha2,10,1381348,414,89572
miden,iter_sha2,100,5684549,448,107565
miden,iter_rescue_prime,1,137763,2780,53203
miden,iter_rescue_prime,10,126569,2286,53284
miden,iter_rescue_prime,100,217742,2312,57529
miden,iter_rescue_prime,1000,565164,2657,72742
risczero,big_sha2,4096,1889546,2413,217448
risczero,big_sha2,8192,3814567,2619,229160
risczero,big_sha2,16384,7611628,2598,241384
risczero,big_sha2,32768,15161667,2732,254632
risczero,iter_sha2,1,209847,2134,172136
risczero,iter_sha2,10,450156,2173,182760
risczero,iter_sha2,100,3635788,2508,229160
